mean_ss_ml	glm_ml	max_abs_diff_ss_ml	true_height	post_sample_mean_height	glm_mode_height	true_size	post_sample_mean_size	glm_mode_size
-2047.597	0.0823406	0.183	0.06886511	0.06945130096	0.0692109	0.004310077	0.0023761089745	0.00179764
-2555.48833333	0.152484	0.776	0.05655682	0.05201758646	0.0548367	0.007013079	0.008699503269	0.00755271
-2031.66	0.157647	0.0540000000001	0.03556276	0.03874712173	0.0385861	0.002381868	0.003793625724	0.00355298
-2797.474	0.0137732	0.343	0.1699391	0.14177957207	0.181389	0.005744467	0.0047661789493	0.00526585
-2214.66533333	0.158455	0.175	0.06034678	0.06255877598	0.0635339	0.002557272	0.004314380027	0.00400503
-2480.81833333	0.154129	0.34	0.0670935	0.07278519409	0.0743715	0.00571287	0.006004997515	0.0054571
-2210.23466667	0.158225	0.158	0.06442657	0.06652644955	0.0666138	0.00364531	0.003964653924	0.00343362
-2250.64766667	0.157359	0.576	0.05156724	0.04550162354	0.0470972	0.004442601	0.006331713757	0.0059001
-2177.95833333	0.158139	0.21	0.05188682	0.0501513162	0.0503941	0.004359894	0.003999678724	0.00345956
-1920.34333333	0.157577	0.308	0.03071858	0.03292701358	0.0329117	0.002420422	0.003719574561	0.00332024
-2228.21733333	0.156792	0.169	0.03694112	0.04294800292	0.0453387	0.004592086	0.006368374798	0.00580924
-2769.27533333	0.153009	0.085	0.04389689	0.06569857993	0.0691068	0.01033478	0.007385436577	0.00664657
-2197.569	0.158316	0.598	0.04023269	0.04014192534	0.0421547	0.004056071	0.004874883954	0.00464667
-2041.51933333	0.158367	0.46	0.03659727	0.0410758272	0.0408228	0.006833322	0.003643479613	0.00339256
-2202.101	0.158293	0.475	0.05296662	0.05495181883	0.0554387	0.004024236	0.004410827088	0.00411924
-2020.59466667	0.155098	0.058	0.02031719	0.023283791528	0.0224605	0.005381688	0.004758190982	0.00410187
-2426.52566667	0.15786	0.384	0.0544765	0.04921223592	0.0514121	0.01015867	0.005550024117	0.00512484
-2091.055	0.123914	1.074	0.04244713	0.040936668708	0.0396745	0.01119978	0.010795869682	0.0131186
-2381.521	0.15644	0.612	0.05828825	0.05767575713	0.0592312	0.004473433	0.006138526067	0.00559624
-2232.57633333	0.152773	0.358	0.02534827	0.024152712069	0.0235249	0.009560011	0.006341394044	0.0057023
-2215.28733333	0.157771	0.488	0.04797933	0.0559060672	0.056463	0.003051097	0.004862650092	0.00419616
-2374.14033333	0.157458	0.115	0.05060703	0.05140228033	0.0525835	0.006597542	0.006025473415	0.0056621
-1789.87666667	0.132168	0.183	0.01927822	0.018273749191	0.0163544	0.003339304	0.002846941481	0.00257809
-2301.633	0.157906	0.431	0.04485613	0.05693941873	0.0573707	0.006591195	0.005699229692	0.00494534
-2072.22133333	0.15776	0.201	0.02730039	0.03582412898	0.0369511	0.004221663	0.004797388664	0.00441946
-2169.11166667	0.157936	0.119	0.02389533	0.033280041406	0.0334052	0.005251493	0.005344401999	0.00474058
-2672.778	0.15645	0.0919999999996	0.05802673	0.0550792892	0.056595	0.009051318	0.00721727728	0.00647093
-2118.57633333	0.119259	0.169	0.08115133	0.07707383954	0.0775913	0.002449601	0.0026992159411	0.00207512
-2148.68166667	0.157081	0.404	0.07385027	0.07076409749	0.071537	0.002519019	0.00344880119	0.00305894
-2117.11266667	0.157163	0.237	0.02925389	0.031568855172	0.0315538	0.004526781	0.005355570688	0.00486149
-2137.746	0.158	0.375	0.05357997	0.06374001074	0.0638297	0.003397065	0.003899880423	0.00360105
-2165.223	0.157648	0.196	0.05361044	0.04995989575	0.0499746	0.005931841	0.003783469586	0.00341749
-2281.39433333	0.154223	0.279	0.09239682	0.08531692678	0.0868324	0.002148771	0.0035353762431	0.00319647
-2125.61166667	0.158118	0.027	0.03745841	0.05264479606	0.0529299	0.005160156	0.003598257826	0.00340381
-2459.178	0.15766	0.087	0.04549304	0.06360486573	0.0644573	0.007127932	0.005706358909	0.00547777
-1918.461	0.156083	0.192	0.0304403	0.03556531725	0.0353892	0.002939851	0.0031603342873	0.00257085
-2469.514	0.15565	0.183	0.04076965	0.04356209835	0.0440234	0.006575309	0.007223055415	0.00659507
-2097.51966667	0.158712	0.353	0.05186968	0.0455908715	0.0468026	0.004315627	0.004263282729	0.0038683
-1889.23933333	0.156621	0.311	0.02221669	0.024754405	0.0233578	0.005239208	0.003614030563	0.00337884
-2439.66966667	0.155625	0.321	0.08190817	0.0821732278	0.0839299	0.00522431	0.005707910566	0.00539922
-2062.13566667	0.157842	0.773	0.05431488	0.05100782325	0.0508865	0.002772102	0.003878419649	0.00352757
-2002.66433333	0.157271	0.387	0.03399961	0.03298881794	0.0332405	0.003954365	0.003941883522	0.00347872
-2243.96833333	0.155744	0.172	0.04945215	0.03801657063	0.0381712	0.004890874	0.006874961457	0.00619845
-2283.69	0.143049	0.492	0.1063202	0.09724138665	0.0986637	0.002270418	0.0034472784581	0.00298674
-2548.83166667	0.148554	0.119	0.1232519	0.12252976092	0.127589	0.00636926	0.005032069769	0.00461151
-2218.48933333	0.158538	0.352	0.04130795	0.04639052497	0.046897	0.005584753	0.005496669207	0.00498603
-2190.70833333	0.157917	0.41	0.07257518	0.06704501541	0.0672342	0.004929793	0.003722482426	0.00320729
-2063.08433333	0.158071	0.0160000000001	0.02930624	0.02940208003	0.0305248	0.004757117	0.004866070016	0.00465334
-2101.292	0.157201	0.23	0.05117805	0.05325399091	0.0541904	0.004127022	0.0033107828638	0.00293317
-2333.82666667	0.150291	0.447	0.1010231	0.0926121586	0.0939302	0.002854952	0.0038707529934	0.00346592
-2396.98366667	0.155105	0.746	0.08925268	0.07383910951	0.0751802	0.003932573	0.005828495766	0.00536328
-1916.65533333	0.152389	0.309	0.04113437	0.04282153146	0.0422212	0.001595662	0.0024976228298	0.00227522
-2402.39533333	0.155968	0.338	0.09525236	0.07714096272	0.0798054	0.004558413	0.005771957087	0.00549511
-2486.93866667	0.133738	0.509	0.02948819	0.036722148746	0.0347018	0.007398039	0.010032251418	0.00888454
-2690.615	0.124796	0.557	0.1023831	0.09695999856	0.100928	0.008343763	0.006961051706	0.00638797
-2187.29166667	0.158097	0.203	0.04606828	0.04781218139	0.0481796	0.003762543	0.005139151792	0.00455378
-2296.80066667	0.154828	0.345	0.09355515	0.08103200056	0.0826796	0.003505584	0.003778146997	0.00362919
-1876.80033333	0.155713	0.273	0.02395712	0.02417312557	0.0229859	0.003958488	0.003562121841	0.00336513
-1931.46233333	0.157609	0.55	0.02905221	0.02924928868	0.0289302	0.002807745	0.003412196389	0.00310423
-2364.76033333	0.157765	0.2	0.03501951	0.04080398136	0.0417454	0.00616457	0.006236554445	0.00564494
-2295.695	0.155969	0.358	0.0497555	0.03683060039	0.0372804	0.009152719	0.006682857569	0.00614731
